id	institution	display	n_candidates	best_kind	best_conf	best_host	best_url	last_error
sb_184_cod	sb 184 cod	sb 184 cod	5	archive_org	low	archive.org	https://archive.org/details/cia-readingroom-document-cia-rdp82-00039r000300050001-3	
sb_248_cod	sb 248 cod	sb 248 cod	1	archive_org	low	archive.org	https://archive.org/details/cia-readingroom-document-cia-rdp82-00039r000300050001-3	
sb_250_cod	sb 250 cod	sb 250 cod	6	archive_org	low	archive.org	https://archive.org/details/cia-readingroom-document-cia-rdp80s01540r003000050012-6	
sb_732_cod	sb 732 cod	sb 732 cod	2	archive_org	low	archive.org	https://archive.org/details/cia-readingroom-document-cia-rdp84-00581r000300820054-6	
sb_878_cod	sb 878 cod	sb 878 cod	1	archive_org	low	archive.org	https://archive.org/details/cia-readingroom-document-cia-rdp82-00039r000300050001-3	
sb_913_cod	sb 913 cod	sb 913 cod	1	archive_org	low	archive.org	https://archive.org/details/cia-readingroom-document-cia-rdp84-00581r000401250058-3	
clat_220	schaffhausen stadtbibliothek	Schaffhausen, Stadtbibliothek, 61	1	catalogue_search	low	www.e-codices.unifr.ch	https://www.e-codices.unifr.ch/en/search/all?query=Schaffhausen%2C+Stadtbibliothek%2C+61	
sb_251_1	st. gall stiftsbibliothek 251	St. Gall, Stiftsbibliothek 251, codicological unit 1	2	catalogue_or_other	medium	computus.huma-num.fr	https://computus.huma-num.fr/mss/SB_251_1	
clat_597	stockholm kungliga biblioteket	Stockholm, Kungliga biblioteket, A 136	2	archive_org	low	archive.org	https://archive.org/details/urn-nbn-se-kb-digark-5999819	
clat_256	vatican biblioteca apostolica vaticana	Vatican, Biblioteca Apostolica Vaticana, 1577	2	catalogue_or_other	medium	bibliotheca-laureshamensis-digital.de	https://bibliotheca-laureshamensis-digital.de/bav/bav_pal_lat_1577	
clat_17	vatican biblioteca apostolica vaticana	Vatican, Biblioteca Apostolica Vaticana, 1939	4	archive_org	low	archive.org	https://archive.org/details/librariesguestso0000bibl	
bav_pal_lat_1354	vatican biblioteca apostolica vaticana pal. lat. 1354	Vatican, Biblioteca Apostolica Vaticana Pal. lat. 1354	7	catalogue_or_other	medium	digi.ub.uni-heidelberg.de	https://digi.ub.uni-heidelberg.de/diglit/bav_pal_lat_1354	
bav_reg_lat_123	vatican biblioteca apostolica vaticana reg. lat. 123	Vatican, Biblioteca Apostolica Vaticana Reg. lat. 123	9	archive_org	medium	archive.org	https://archive.org/details/missalegothicumg02cath	http_403
bav_reg_lat_141_cu1	vatican biblioteca apostolica vaticana reg. lat. 141	Vatican, Biblioteca Apostolica Vaticana Reg. lat. 141, codicological unit 1	9	catalogue_or_other	medium	computus.huma-num.fr	https://computus.huma-num.fr/mss/BAV_REG_LAT_141_CU1	
VATICAN_BAV_PAL_LAT_1447_CU1	vatican city biblioteca apostolica vaticana	Vatican City, Biblioteca Apostolica Vaticana, Pal. Lat. 1447	6	catalogue_api	low	gallica.bnf.fr	https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&version=1.2&query=%28gallica%20all%20%22Latin%201447%22%29&maximumRecords=5	
clat_237	vienna österreichische nationalbibliothek	Vienna, Österreichische Nationalbibliothek, 387	1	catalogue_or_other	medium	data.onb.ac.at	https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21303539350003338&context=L&adaptor=Local%20Search%20Engine&vid=ONB&lang=de_DE&search_scope=ONB_gesamtbestand&tab=default_tab&query=addsrcrid,exact,AC13961630	
clat_522	wolfenbüttel herzog august bibliothek	Wolfenbüttel, Herzog August Bibliothek, 81	1	catalogue_or_other	medium	diglib.hab.de	https://diglib.hab.de/mss/81-weiss/start.htm	
clat_247	wolfenbüttel herzog august bibliothek	Wolfenbüttel, Herzog August Bibliothek, 91	1	catalogue_or_other	medium	diglib.hab.de	https://diglib.hab.de/show_image.php?dir=mss/91-weiss	
HABCODGUELF_91_WEISS_COD	wolfenbüttel herzog august bibliothek	Wolfenbüttel, Herzog August Bibliothek, Cod. Guelf. 91 Weiss.	1	catalogue_or_other	medium	diglib.hab.de	http://diglib.hab.de/mss/91-weiss/start.htm	
